,promoter,enhancer,edist,pro_enh_dist,promoter_nontarget_pval,enhancer_nontarget_pval,promoter_nontarget_edist,enhancer_nontarget_edist,total_cell_num,edist_norm,target_name,expression_category,expression_level,expression_level_norm,is_NT
115,CREBBP_P1P2,Element470,13.3297119140625,16315,5.0,0.4180389698331228,10.174102783203123,1.530609130859375,3444,1.3101609250566164,CREBBP,normal,86.49346,0.94374675,False
116,CREBBP_P1P2,Element471,5.7552490234375,49,5.0,1.6744843366368518,10.174102783203123,2.56754150390625,4853,0.5656763201703737,CREBBP,normal,86.969,0.94893545,False
117,CREBBP_P1P2,Element472,3.9864501953125,162,5.0,4.221848749616356,10.174102783203123,7.21627197265625,4055,0.39182326739355405,CREBBP,normal,76.90361,0.83911,False
118,CREBBP_P1P2,Element473,8.24658203125,65569,5.0,0.9421057802754698,10.174102783203123,3.27774658203125,2517,0.8105463653133765,CREBBP,normal,89.882034,0.9807201,False
119,CREBBP_P1P2,Element474,10.0267333984375,116838,5.0,0.4360326821505981,10.174102783203123,1.47476806640625,3708,0.985515245137004,CREBBP,normal,90.15221,0.983668,False
120,CREBBP_P1P2,Element475,8.5791015625,118959,5.0,0.8082416786295522,10.174102783203123,2.602374267578125,2917,0.843229299458584,CREBBP,normal,96.88017,1.0570781,False
121,CREBBP_P1P2,OR10H2,7.914306640625,-1,5.0,-1.0,10.174102783203123,-1.0,2603,0.7778874274487456,ACVR2B,normal,76.72568,0.9816495,True
122,CREBBP_P1P2,OR10K1,9.619140625,-1,5.0,-1.0,10.174102783203123,-1.0,2453,0.9454534547145195,ACVR2B,normal,79.90196,1.0222877,True
123,CREBBP_P1P2,OR10V1,10.7589111328125,-1,5.0,-1.0,10.174102783203123,-1.0,2388,1.0574800905859594,ACVR2B,normal,80.799446,1.0337704,True
124,CREBBP_P1P2,OR14J1,9.4066162109375,-1,5.0,-1.0,10.174102783203123,-1.0,2596,0.9245646924726669,ACVR2B,normal,66.79433,0.85458505,True
125,CREBBP_P1P2,OR2A2,8.423828125,-1,5.0,-1.0,10.174102783203123,-1.0,2652,0.8279676650119233,ACVR2B,normal,85.51017,1.0940408,True
126,EOMES_P1P2,Element894,165.291259765625,41154,5.0,1.8010681300677909,140.60130615234374,3.7348876953125,2457,1.1756025906795582,EOMES,low,0.24179362,0.50947756,False
127,EOMES_P1P2,Element895,104.99755859375,7073,5.0,5.0,140.60130615234374,24.80399169921875,1307,0.7467751293859496,EOMES,low,0.0,0.0,False
128,EOMES_P1P2,Element896,95.923828125,1238,5.0,3.585026652029182,140.60130615234374,8.00108642578125,1640,0.6822399503249637,EOMES,low,0.0,0.0,False
129,EOMES_P1P2,Element897,141.11328125,295,5.0,5.0,140.60130615234374,10.745794677734375,1932,1.0036413253309435,EOMES,low,0.0,0.0,False
130,EOMES_P1P2,Element898,69.0118408203125,5994,5.0,5.0,140.60130615234374,24.072882080078124,1328,0.4908335683989812,EOMES,low,0.3134097,0.66037804,False
131,EOMES_P1P2,Element899,128.6414794921875,7492,5.0,0.3537825799889331,140.60130615234374,1.204998779296875,2992,0.9149380116910324,EOMES,low,0.61112756,1.2876922,False
132,EOMES_P1P2,Element901,164.700927734375,138599,5.0,1.5992893632267686,140.60130615234374,3.4503662109375,2429,1.171403966588468,EOMES,low,0.49364853,1.040155,False
133,EOMES_P1P2,OR10H2,146.73974609375,-1,5.0,-1.0,140.60130615234374,-1.0,1512,1.04365848447208,ACVR2B,normal,76.72568,0.9816495,True
134,EOMES_P1P2,OR10K1,143.5133056640625,-1,5.0,-1.0,140.60130615234374,-1.0,1346,1.0207110416781162,ACVR2B,normal,79.90196,1.0222877,True
135,EOMES_P1P2,OR10V1,140.077392578125,-1,5.0,-1.0,140.60130615234374,-1.0,1281,0.9962737645292493,ACVR2B,normal,80.799446,1.0337704,True
136,EOMES_P1P2,OR14J1,148.092529296875,-1,5.0,-1.0,140.60130615234374,-1.0,1489,1.053279897246576,ACVR2B,normal,66.79433,0.85458505,True
137,EOMES_P1P2,OR2A2,150.8529052734375,-1,5.0,-1.0,140.60130615234374,-1.0,1547,1.0729125454210646,ACVR2B,normal,85.51017,1.0940408,True
138,EP300_P1P2,Element886,62.2193603515625,141165,5.0,1.171597921508407,54.1280517578125,2.41153564453125,4190,1.1494845709569097,EP300,normal,78.0267,0.9787436,False
139,EP300_P1P2,Element887,57.5531005859375,109349,5.0,0.5910650413211982,54.1280517578125,1.746636962890625,3762,1.0632767800963878,EP300,normal,74.40741,0.93334424,False
140,EP300_P1P2,Element888,76.8897705078125,70248,5.0,2.090979145788844,54.1280517578125,3.45841064453125,5975,1.4205161281592722,EP300,normal,76.047966,0.9539229,False
141,EP300_P1P2,Element889,40.70458984375,43623,5.0,1.173212761183708,54.1280517578125,2.917510986328125,3327,0.7520054485957913,EP300,normal,84.36541,1.0582545,False
142,EP300_P1P2,Element890,24.4892578125,872,5.0,5.0,54.1280517578125,9.6329345703125,4165,0.4524319094667097,EP300,normal,70.31683,0.8820333,False
143,EP300_P1P2,Element891,16.7860107421875,61,5.0,5.0,54.1280517578125,12.2355712890625,4963,0.31011666219382655,EP300,normal,79.82706,1.0013267,False
144,EP300_P1P2,Element892,48.0023193359375,112695,5.0,0.2488287129935497,54.1280517578125,1.566107177734375,3004,0.8868288766556086,EP300,normal,71.368,0.8952188,False
145,EP300_P1P2,Element893,53.4921875,125214,5.0,0.3452845356325108,54.1280517578125,1.516229248046875,3415,0.9882525929317099,EP300,normal,82.32777,1.0326948,False
146,EP300_P1P2,OR10H2,45.3934326171875,-1,5.0,-1.0,54.1280517578125,-1.0,2918,0.8386304539519234,ACVR2B,normal,76.72568,0.9816495,True
147,EP300_P1P2,OR10K1,48.75537109375,-1,5.0,-1.0,54.1280517578125,-1.0,2752,0.9007412886740923,ACVR2B,normal,79.90196,1.0222877,True
