,num_valid_gRNA,pearson_r,expression_range,exp_0,exp_1,lin_0,lin_1,err_exp,err_lin,err_exp/lin
TBX20,55.0,-0.7036957383436129,0.5692380368709564,15.236453121411003,5.0913603023245795,-597.731621847627,-94.10653336180741,450493.5014002195,1382814.1482626,0.3257802228638101
TBX2,57.0,-0.05167020135945873,0.8178769275546074,272036.2448789182,0.00016859246294460064,-6.646658472625593,24.237670837733376,37681.17072252238,1172595124313.2207,3.213485195462665e-08
TBX5,60.0,-0.20216419201999175,0.568623960018158,222174.70565503224,0.0003100573466074243,-27.52540309108116,15.297328264902124,21936.495976343776,321227010874.19293,6.828969928974965e-08
TCF7,59.0,-0.3939716114649322,0.8973071575164795,145435.3185808881,0.0002639286786897017,-27.152814615391016,7.922316364519985,18738.58845178488,493684747667.48206,3.7956587762371234e-08
TFAP4,76.0,-0.49428165263186175,0.8961958885192871,11.084985121378516,1.92101600544464,-44.53410427629357,1.3368838764026474,25516.28967390769,82732.88224315652,0.3084177534020138
THOC6,41.0,-0.23936439837022774,0.8365978561341763,310116.84652223875,0.0002002801980165421,-30.7487458547379,16.018977627224082,33074.516931400605,720200271413.5593,4.59240550777414e-08
TNNC1,5.0,0.9029754310302205,0.5869943648576736,91484.23997194557,0.0003224666459713365,11.03284714338856,32.15162614353277,5618.001911313699,24144308136.061543,2.3268431961911318e-07
TNNT2,17.0,0.21104816219878755,0.8268201947212219,53354.5705897996,0.0002687463919713246,2.0571061441365868,12.205097847302113,2311.1531084873372,20556091293.06641,1.1243154525524468e-07
TTN,6.0,0.05837704416630818,0.4337652027606964,115122.5198492253,0.0004321438846158706,-26.018734276148738,11.02074494889104,3120.239549068682,15172378844.944525,2.056526257982514e-07
UBR1,5.0,0.48164866160825137,0.6282435655593872,304204.0350342057,0.00020889609181490813,-34.306078060837685,23.118335704093425,3653.3638041126683,265450880118.5089,1.376286189927736e-08
ZBTB10,29.0,-0.20514417917646258,0.6688281148672104,196195.03381385165,0.00026957647352380165,-23.246645945080274,14.907966671193059,13676.146574262331,211231514306.93088,6.474482095692476e-08
ZBTB12,69.0,-0.3160232617108135,0.8954617977142334,210414.20532585686,0.000245214236892376,-29.900740488203773,12.390365581207025,30353.971882649326,781177518509.2671,3.88566889899421e-08
ZC3H15,19.0,0.08672725010936518,0.8082615807652473,103178.89442120538,0.00022269592214518925,-1.6386023420769282,14.939872746500049,3814.3247431207783,76617661209.0681,4.978388380601382e-08
ZC3H3,58.0,-0.4545228941062597,0.889561116695404,0.15419916394922129,9.849760463979168,-1052.4455602096937,-236.7987460614223,6895209.2899293825,16342463.733290426,0.4219198159138938
ZFPM2,21.0,-0.7032039362363242,0.5566883981227875,79.47939984477479,0.3014705564956891,-28.30384717517442,-1.03998722534366,561.4801567126826,111603.66046621298,0.005031019183126755
ZIC5,24.0,-0.2202409136883642,0.8175062537193298,39774.06818766093,0.00048753987370296365,-12.28453783040524,5.737194731981823,3745.0475134162475,21446773370.44886,1.7462055707533534e-07
ZNF20,51.0,-0.3899987695042103,0.8966320157051086,21.371084458452252,0.9531482251010376,-29.539811444002183,1.5439898104864005,23052.9287389392,81568.24923834534,0.28262135027046764
ZNF384,59.0,-0.5125698202908617,0.8467665612697601,1.8786246351715798,4.97944531108951,-96.10575313978426,-7.938535490351596,35047.647214151024,100677.36164014891,0.34811845129019003
ZNF425,70.0,-0.11786017870895385,0.8426046371459961,117090.97343634733,0.00020607272987931526,-8.550196077784529,11.083143336927845,23478.65572370383,391427711024.72797,5.998209902471773e-08
ZNF436,51.0,-0.06575705839592276,0.8998354077339172,83135.67594495397,0.0003387672216356807,-7.162567709808738,13.597098523697388,21417.524211519893,119407186198.8181,1.793654544028765e-07
ZNF460,59.0,-0.23452569808484228,0.8467603921890259,149277.69074951552,0.0002130311790679275,-13.941491544974125,8.946765941899786,10040.591802014127,236721278338.9192,4.241524831425921e-08
ZNF649,51.0,-0.1788450181959293,0.8860697746276855,148354.7067606297,0.0002016136002779627,-14.211127718000851,9.646496220617253,18085.48138295,328065907823.93085,5.512758549924142e-08
ZNF787,33.0,-0.6365240310654103,0.7895113602280617,140160.19913280764,0.00035675547518711166,-44.36076571476922,3.2718171084206094,7075.552957845908,145114617094.1705,4.875837527279769e-08
ZNF814,81.0,-0.0506884309036275,0.6126899421215057,133005.64348716044,0.0002438099745630296,-5.041723222337353,12.930982083112921,18204.66627519633,248911373237.85104,7.313714129808197e-08
ZSCAN10,93.0,-0.09564052802672182,0.8731304407119751,14.00758808812091,0.8616580852962702,-19.54859020129709,-0.3989995907619157,32915.425624920565,128882.42243194212,0.25539111543548104
