,num_valid_gRNA,pearson_r,expression_range,exp_0,exp_1,lin_0,lin_1,err_exp,err_lin,err_exp/lin
PITX2,6.0,-0.3489453878707219,0.3147547625865179,163533.21238755522,0.0015846110598469606,-207.89186336294802,16.09904879872695,12054.524494366335,13625616559.773241,8.846957083729169e-07
PLAGL1,8.0,0.1657177325940531,0.7968852173869888,93434.26191424688,0.00036262544329761145,-12.857642726012791,18.844002580611676,3319.854023991969,49312107275.8175,6.73233047093896e-08
PLAGL2,5.0,0.5145961453217955,0.3773170200820002,141187.29386019762,0.00027537405246875975,-25.47345591440507,9.859901594226113,1160.1354595400467,51695851437.253876,2.2441558215714223e-08
PPP1R13L,5.0,0.7501880896111798,0.5486373034630299,79997.31202704983,0.00025046905061991453,-9.537853405870559,9.15731764078708,561.5453389843137,22818810722.209152,2.4608878430187923e-08
PURA,6.0,-0.2919234271547236,0.7542191688924362,140192.1339629177,0.00037224649345642076,-36.16918929978332,10.049005028972465,2087.9461189083627,38081442527.28222,5.482844084523639e-08
RARA,4.0,-0.3266525820170144,0.2987333467035521,188345.95310191278,0.0006429884987132236,-75.21017755089362,11.481490303888512,1386.1814561446965,5801215129.414793,2.389467422292491e-07
RARG,6.0,-0.4793881438247676,0.7145273512721977,34752.00466559829,0.0010242067600988725,-36.03244000376863,-0.34442308297631496,1582.9917710264735,4378884494.735125,3.6150571519521836e-07
RB1,4.0,0.3599624691224781,0.3055929629776082,302002.7297021521,0.00032491703084401184,-66.05920089502426,25.887963693182552,42573.634333831425,232470026296.52194,1.8313601547722793e-07
RB1CC1,4.0,-0.881728440660006,0.8743427091164088,182249.01438713304,0.00023800015046554986,-30.85865405099311,9.134891771715449,477.0901728582679,33371135432.415302,1.429649206346281e-08
RBL2,12.0,-0.031690488705029954,0.7089216303441547,65797.62501515732,0.0003305551263112641,-13.103151537279624,6.8477484044852215,763.9972828757598,30616748310.80897,2.495357361663509e-08
RBPJ,5.0,-0.7876969315360068,0.4101986389286782,24.459129201037833,0.9116187783604384,-34.829692887047386,-1.1603780174489404,136.22674144576177,9959.460691338725,0.01367812431492719
RCOR2,4.0,-0.920320586645351,0.6401616769041298,12.811632581217996,4.273349618470458,-669.9181727299581,-77.44692307010445,2769.554654361611,798389.4181224289,0.0034689270567673206
RNF2,5.0,-0.6792642169261384,0.32854223487341777,50.24259578443908,0.8090481457822721,-61.880335761206645,-2.5066727646584224,752.5079591419865,42348.144373497365,0.01776956157760071
RUNX2,5.0,-0.2535619692891087,0.7637154801090498,192777.19368984562,0.00022324376211371253,-33.104434796772686,8.785211430481578,3779.7364560659817,121302222801.50653,3.115966359702222e-08
SIRT6,6.0,-0.19381297056730967,0.32137516624058327,27114.558445410737,0.0015491492853700575,-40.86837437449269,1.0985687961271688,1864.7698296640883,3853292563.911237,4.839419272569526e-07
SMAD2,5.0,0.22443225283254664,0.6936881305817951,194464.14278856665,0.0003017968114573566,-18.150883796186356,20.158788717028386,2121.624878492868,33045628624.628044,6.420289057269367e-08
SMAD3,4.0,0.22879132200594612,0.28461709135288726,81664.44148852008,0.0003556820980321556,-26.316706416579187,2.416114690238585,207.1755211243513,20450506874.59337,1.0130581231790163e-08
SMAD6,4.0,-0.09480110380443052,0.297006354305805,159154.81389903926,0.0008093135605252454,-74.46092236134112,14.640800702601249,1137.371287983489,5871972000.319818,1.936949440360993e-07
SOX4,12.0,-0.6961337145492477,0.7788192305331519,153758.78506765713,0.0003012573766656352,-29.069291658412194,10.75410669345146,1254.959843551768,78445207827.94049,1.5997915976006612e-08
SP4,5.0,0.7265610250567965,0.8714141402876615,81135.63418652002,0.00031973293671547904,6.44262474075855,26.380185494766394,3408.5331966963404,16548716560.51543,2.0596964025772023e-07
TADA2B,4.0,-0.723717057805392,0.4258634958290022,1.558746294824802,5.134129351984303,-97.37694146647249,-7.0736869058964285,1157.6359640862647,13299.409762260675,0.08704416096504167
TBX2,4.0,-0.4222511879547223,0.48758295408270136,4281.280965516284,0.013363109138362689,-61.2858965313614,-3.193031297106298,4087.942078367786,52423680.74131444,7.797892136837562e-05
TBX20,4.0,0.05163232088783243,0.20105717643881849,2024679.8689226473,0.0004614388092453615,-861.1327703320172,42.201115971480704,41599.08994893274,5332696603196.926,7.800760674063904e-09
